TechnologyType,Parameter,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Coal Steam CCS,HR(Btu/kWh),9603.041825095057,9447.841149133925,9292.640473172793,9137.43979721166,8982.239121250528,8827.038445289396,8681.537811575834,8526.337135614702,8371.136459653571,8215.93578369244,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306,8060.735107731306
Coal Steam CCS,CAPEX(2012$/MW),7367182.087029996,7367182.087029996,7367182.087029996,7367182.087029996,7272121.673003802,7160571.187156739,7042230.671736375,7000520.490071821,6964630.333755809,6928740.177439798,6885089.987325729,6848229.82678496,6803609.632446134,6748319.391634981,6711459.231094212,6665869.03253063,6616398.817068019,6571778.622729193,6533948.457963667,6487388.255175328,6446648.07773553,6406877.90452049,6369047.739754965,6324427.545416139,6287567.38487537,6245857.203210816,6207057.0342205325,6166316.856780735,6125576.679340938,6084836.50190114,6043126.320236587,6002386.142796789,5961645.965356992,5920905.787917195,5880165.610477397,5839425.4330376005,5797715.251373046
Coal Steam CCS,FOM(2012$/MW/yr),71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366,71780.31263202366
Coal Steam CCS,VOM(2012$/MWh),8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369,8.73003802281369
Combined Cycle,HR(Btu/kWh),6479.628221377271,6469.9281791297,6460.22813688213,6450.528094634559,6440.828052386987,6421.4279678918465,6411.727925644276,6402.027883396704,6392.327841149134,6382.627798901563,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993,6372.927756653993
Combined Cycle,CAPEX(2012$/MW),1024324.4613434728,1024324.4613434728,1024324.4613434728,1011714.4064216308,1008804.3937473595,1005894.3810730883,999104.3514997888,996194.3388255176,993284.3261512463,990374.3134769751,987464.3008027038,984554.2881284326,975824.250105619,969034.2205323194,963214.1951837769,958364.1740599916,953514.1529362062,949634.1360371779,945754.1191381495,942844.1064638783,939934.0937896072,936054.0768905788,933144.0642163076,930234.0515420364,926354.034643008,923444.0219687368,919564.0050697085,916653.9923954373,912773.975496409,909863.9628221377,905983.9459231094,903073.9332488382,899193.9163498098,896283.9036755387,892403.8867765104,889493.8741022391,885613.8572032108
Combined Cycle,FOM(2012$/MW/yr),13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071,13580.059146599071
Combined Cycle,VOM(2012$/MWh),2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296,2.9100126742712296
Combined Cycle CCS,HR(Btu/kWh),7284.731727925644,7284.731727925644,7284.731727925644,7284.731727925644,7284.731727925644,7275.031685678074,7275.031685678074,7275.031685678074,7275.031685678074,7275.031685678074,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503,7265.331643430503
Combined Cycle CCS,CAPEX(2012$/MW),2132069.286016054,2132069.286016054,2132069.286016054,2105879.171947613,2100059.1465990706,2064168.9902830587,2042828.8973384032,2030218.842416561,2017608.787494719,2004998.732572877,1991418.673426278,1978808.618504436,1950678.4959864807,1928368.398817068,1906058.3016476552,1889568.229826785,1872108.1537811577,1855618.0819602874,1842038.0228136883,1829427.9678918463,1815847.9087452472,1802267.849598648,1787717.786227292,1775107.73130545,1760557.6679340939,1746977.6087874947,1733397.5496408956,1718847.4862695395,1705267.4271229405,1691687.3679763414,1677137.3046049853,1663557.2454583861,1649977.186311787,1635427.1229404309,1621847.063793832,1608267.0046472328,1593716.9412758767
