2014 Form EIA-860 Data - Schedule 6Dcomma 'Cooling System Data',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,Cooling ID,Cooling Status,Inservice Month,Inservice Year,Cooling Type 1,Cooling Type 2,Cooling Type 3,Cooling Type 4,Percent Dry Cooling,Cooling Water Source,Cooling Water Discharge,Water Source Code,Water Type Code,Intake Rate at 100% (Gallons per Minute),Chlorine Inservice Month,Chlorine Inservice Year,Pond Inservice Month,Pond Inservice Year,Pond Surface Area (Acres),Pond Volume (Acre Feet),Tower Inservice Month,Tower Inservice Year,Tower Type 1,Tower Type 2,Tower Type 3,Tower Type 4,Tower Water Rate (Gallons per Minute),Power Requirement (MW),Cost Total (Thousand Dollars),Cost Ponds (Thousand Dollars),Cost Towers (Thousand Dollars),Cost Chlorine Equipment (Thousand Dollars),Intake Distance Shore (Feet),Outlet Distance Shore (Feet),Intake Distance Surface (Feet),Outlet Distance Surface (Feet),Steam Plant Type
298,City of Alexandria - (LA),6558,D G Hunter,LA,2,SB,6,1963,RI,,,, ,WELLS,CITY,GW,FR,"23,339", , , , , , ,6,1965,MW,,,,"54,982",2,"1,470", ,2, , , , , ,1
298,City of Alexandria - (LA),6558,D G Hunter,LA,3,SB,6,1964,RI,,,, ,WELLS,CITY,GW,FR,"30,072", , , , , , ,6,1974,MW,,,,"60,996",2,"1,300", ,2, , , , , ,1
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,IN,0100,OP,6,2004,RI,,,, ,Tanners Creek,Tanners Creek,SW,FR,"4,039", , , , , , ,6,2004,MW,,,,"158,437",4,"1,500", ,"1,500", ,20, ,20, ,1
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,IN,0200,OP,6,2004,RI,,,, ,Tanners Creek,Tanners Creek,SW,FR,"4,039", , , , , , ,6,2004,MW,,,,"158,437",4,"1,500", ,"1,500", ,20, ,20, ,1
520,Illinois Power Generating Co,861,Coffeen,IL,01,OP,12,1965,OC,RI,,, ,McDavid Branch,Coffeen Cooling Lake,SW,FR,"146,319",6,1965,12,1965,"1,100","22,000",5,2002,MW,,,,"184,021",1,"28,790","21,790","7,000", ,"3,500", ,10, ,1
520,Illinois Power Generating Co,861,Coffeen,IL,02,OP,9,1972,OC,RI,,, ,McDavid Branch,Coffeen Cooling Lake,SW,FR,"250,897",6,1965,12,1965,"1,100","22,000",5,2002,MW,,,,"184,021",1,"28,790","21,790","7,000", ,"3,500", ,10, ,1
520,Illinois Power Generating Co,6017,Newton,IL,1,OP,11,1977,OC,,,, ,"Laws Creek, Sandy Creek",Newton Cooling Lake,SW,FR,"279,173",11,1977,11,1977,"2,021","29,144", , ,,,,, , ,"27,336","27,336", , ,,,17,,1
520,Illinois Power Generating Co,6017,Newton,IL,2,OP,12,1982,OC,,,, ,"Laws Creek, Sandy Creek",Newton Cooling Lake,SW,FR,"279,173",11,1977,11,1977,"2,021","29,144", , ,,,,, , ,"27,336","27,336", , ,,,17,,1
554,City of Ames - (IA),1122,Ames Electric Services Power Plant,IA,7,OP,5,1968,RI,,,, ,Wells - Ames Alluvial Aquifer,Zero Discharge,GW,FR, ,12,2005, , , , ,5,1968,MW,,,,135,0.1, , ,108, , , , , ,1
554,City of Ames - (IA),1122,Ames Electric Services Power Plant,IA,8,OP,6,1982,RI,,,, ,Wells - Ames Alluvial Aquifer,Zero Discharge,GW,FR, ,12,2005, , , , ,6,1982,MW,,,,173,0.4, , ,571, , , , , ,1
641,ANP Bellingham Energy Company LLC,55211,ANP Bellingham Energy Project,MA,DC1,OP,12,2001,DC,,,,100%,,,,, , , , , , , ,12,2001,MD,,,, ,1.34,"1,500", , , , , , , ,3
641,ANP Bellingham Energy Company LLC,55211,ANP Bellingham Energy Project,MA,DC2,OP,12,2001,DC,,,,100%,,,,, , , , , , , ,12,2001,MD,,,, ,1.34,"1,500", , , , , , , ,3
656,ANP Blackstone Energy Company LLC,55212,ANP Blackstone Energy Project,MA,U1,OP,6,2001,DC,,,, ,,,,, , , , , , , ,6,2001,MD,,,, ,1.3,"15,000", , , , , , , ,3
656,ANP Blackstone Energy Company LLC,55212,ANP Blackstone Energy Project,MA,U2,OP,7,2001,DC,,,, ,,,,, , , , , , , ,7,2001,MD,,,, ,1.3,"15,000", , , , , , , ,3
733,Appalachian Power Co,3775,Clinch River,VA,1,OP,9,1958,RI,,,, ,Clinch River,Clinch River,SW,FR,"7,181",9,1958, , , , ,9,1958,MW,,,,"109,964",0.185,982, ,973,8,5, ,5, ,1
